Date;DOY;Licor unit;Tree;Treat;Temp;VPD;CO2;WD;Obs;HHMMSS;FTime;EBal?;Photo;Cond;WUEi;Ci;Ci/10;VcmaxCi10;VcmaxCO2R10;Trmmol;VpdL;CTleaf;Area;BLC_1;StmRat;BLCond;Tair;Tleaf;TBlk;CO2R;CO2R/10;CO2S;H2OR;H2OS;RH_R;RH_S;Flow;PARi;PARo;Press;CsMch;HsMch;StableF;BLCslope;BLCoffst;f_parin;f_parout;alphaK;Status;fda;Trans;Tair_K;Twall_K;R(W/m2);Tl-Ta;SVTleaf;h2o_i;h20diff;CTair;SVTair;CndTotal;vp_kPa;VpdA;CndCO2;Ci_Pa;Ci/Ca;RHsfc;C2sfc;AHs/Cs;Photo385;Photo700
29.7.2014;210;red;1;HOT-H-EC-WET;HOT;H;EC;WET;61;12:10:26;12037;0;11.48314768;0.046437361;247.2825206;272.01;27.2;41.7;17.2;0.81;1.7;26.82;6;1.42;1;2.84;25.58;26.82;24.98;701.22;70.12;686.78;17.72;18.67;53.07;55.93;500.21;1199.8;2.5;98.56;-9.43;0.22;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.97;298.73;191.97;1.68;3.54;35.93;17.25;26.2;3.41;0.05;1.84;1.57;0.03;26.81;0.4;51.42;681.32;0.01;6.15;11.48
29.7.2014;210;black;2;HOT-H-EC-WET;HOT;H;EC;WET;64;12:06:11;12300.5;0;11.07820297;0.042894566;258.2658831;258.73;25.87;47.8;15.7;0.54;1.21;25.37;6;1.42;1;2.84;22.07;25.37;21.06;700.62;70.06;686.87;20.11;20.74;74.11;76.44;499.71;1200.98;0.18;98.25;-2.71;0.12;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.52;295.22;192.16;1.56;3.25;33.08;12.35;23.72;2.95;0.04;2.04;0.91;0.03;25.42;0.38;62.22;681.61;0.01;6.67;11.08
29.7.2014;210;green;3;HOT-H-EC-WET;HOT;H;EC;WET;61;13:39:45;12281.5;0;8.465265496;0.000301904;28039.5937;-43684.49;-4368.45;0.56;-0.31;0;1.41;26.96;6;1.42;1;2.84;25.46;26.96;24.94;686.34;68.63;676.18;22;22;66.2;66.22;500.16;1199.99;5.92;98.35;23.17;-1.07;0;-0.22;2.74;1;0;0.16;111115;0.83;0;300.11;298.61;192;2.06;3.57;36.3;14.3;26.21;3.42;0;2.16;1.25;0;-4296.24;-64.61;59.43;672.15;0.01;0.04;8.47
29.7.2014;210;blue;4;HOT-H-EC-WET;HOT;H;EC;WET;61;12:03:37;12411;0;9.202117316;0.062149638;148.0638924;438.36;43.84;24.3;14.2;0.62;0.97;24.76;6;1.42;1;2.84;25.54;24.76;24.96;700.37;70.04;688.81;21.25;21.97;63.74;65.91;499.5;1199.33;3.15;98.49;-16.06;-0.28;0;-0.22;2.74;1;0;0.16;111115;0.83;0;297.91;298.69;191.89;2.06;3.14;31.83;9.86;25.15;3.21;0.06;2.16;1.04;0.04;43.17;0.64;68.84;684.44;0.01;5.11;9.2
29.7.2014;210;red;5;HOT-H-EC-WET;HOT;H;EC;WET;67;12:25:44;12955;0;10.51272027;0.040107963;262.1105507;250.58;25.06;39.8;15.4;0.7;1.69;26.79;6;1.42;1;2.84;25.58;26.79;24.97;701.47;70.15;688.28;17.86;18.68;53.47;55.94;500.19;1199.25;1.99;98.54;-9.62;0.22;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.94;298.73;191.88;1.74;3.54;35.88;17.19;26.19;3.41;0.04;1.84;1.57;0.02;24.69;0.36;51.42;683.28;0.01;5.5;10.51
29.7.2014;210;black;6;HOT-H-EC-WET;HOT;H;EC;WET;70;12:20:30;13160;0;15.66737433;0.084978884;184.3678523;368.09;36.81;69.4;25.1;1;1.16;25.43;6;1.42;1;2.84;21.56;25.43;20.1;700.44;70.04;680.8;20.19;21.37;76.75;81.25;499.65;1200.26;1.91;98.25;-2.51;0.08;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.58;294.71;192.04;1.23;3.26;33.21;11.84;23.5;2.91;0.08;2.1;0.81;0.05;36.16;0.54;64.41;673.36;0.01;10.72;15.67
29.7.2014;210;black;1;HOT-L-AC-DRY;HOT;L;AC;DRY;95;13:21:53;16843;0;5.079355857;0.026127294;194.4080339;60.32;6.03;184;12.8;0.36;1.31;25.75;6;1.42;1;2.84;21.56;25.75;20.09;384.89;38.49;378.64;20.1;20.51;76.38;77.96;500.57;1200.25;0.19;98.21;-0.39;0.15;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.9;294.71;192.04;1.53;3.32;33.86;13.34;23.66;2.93;0.03;2.01;0.92;0.02;5.92;0.16;59.86;376.22;0.01;5.08;9.9
29.7.2014;210;green;2;HOT-L-AC-DRY;HOT;L;AC;DRY;88;15:09:03;17639.5;0;0.736150428;0.013023476;56.52488076;285.13;28.51;6.07;3.77;0.21;1.52;27.56;6;1.42;1;2.84;25.6;27.56;24.94;385.45;38.55;384.47;21.9;22.14;65.3;66.03;500.16;1200.64;6.8;98.28;3.47;0.84;0;-0.22;2.74;1;0;0.16;111115;0.83;0;300.71;298.75;192.1;1.89;3.7;37.63;15.49;26.58;3.49;0.01;2.18;1.32;0.01;28.02;0.74;57.76;384.12;0;0.74;2.64
29.7.2014;210;red;3;HOT-L-AC-DRY;HOT;L;AC;DRY;92;13:27:23;16654;0;6.624114372;0.043623698;151.8466952;125.18;12.52;67.9;19.3;0.76;1.68;26.99;6;1.42;1;2.84;25.64;26.99;24.98;386.68;38.67;378.4;18.33;19.22;54.66;57.31;500.21;1199.64;0.36;98.5;-2.77;0.26;0;-0.22;2.74;1;0;0.16;111115;0.83;0;300.14;298.79;191.94;1.69;3.58;36.31;17.09;26.32;3.44;0.04;1.89;1.54;0.03;12.33;0.33;52.31;375.25;0.01;6.62;13.32
29.7.2014;210;red;4;HOT-L-AC-DRY;HOT;L;AC;DRY;99;13:43:29;17620;0;6.387626684;0.044684601;142.9491713;139.48;13.95;55.7;18.3;0.79;1.72;27.34;6;1.42;1;2.84;25.69;27.34;24.97;386.75;38.67;378.73;18.63;19.56;55.38;58.15;500.21;1199.5;0.6;98.49;-2.78;0.26;0;-0.22;2.74;1;0;0.16;111115;0.83;0;300.49;298.84;191.92;1.63;3.65;37.06;17.5;26.51;3.48;0.04;1.93;1.55;0.03;13.74;0.37;52.15;375.69;0.01;6.39;12.58
